12,254,162,396,180,482,8,644,4,538,36,700
20,238,432,380,1286,604,1894,756,1872,708,1898,826
28,226,408,338,1240,362,1700,180,1568,188,1736,228
1524,162,1242,262,714,304,42,202,350,222,180,252
1530,154,934,362,436,502,8,678,16,556,40,740
1486,175,1196,243,1075,313,1871,773,1870,630,1690,865
1914,572,1578,456,1530,326,1720,180,1600,182,1740,238
1912,600,1420,464,874,366,188,222,202,262,358,214
1914,626,1248,484,658,476,4,626,6,544,24,706
46,998,606,774,1310,746,1914,864,1902,746,1898,942
10,902,706,570,1174,380,1692,164,1566,198,1710,238
12,880,464,600,564,348,246,224,226,274,340,228
